x y
298.1043615533102 599.5654834233192
284.2119303224653 598.7825311173737
582.431584593724 298.10792283264254
286.0432177207537 600.5486351850834
308.75244886204234 597.9863414463643
595.6141892908312 284.4748741211656
588.2484371065782 305.9934027852378
990.8965905485601 1291.591254072058
978.9769586754385 1311.025626928782
609.135608166802 299.9491645561767
302.2367166382472 608.6958479914398
601.7477491860201 291.20386532385976
604.2206051970172 303.4544905819555
990.5094982156131 1287.9419898256867
296.2175267629574 607.5344262599783
1007.5832805275965 1291.651431329736
992.083044480226 1297.608503066529
1008.4905607380633 1301.9163039757743
293.99902337344264 592.559879071507
1003.0471321978406 1298.9769635972052
607.4684750209966 295.5131495397243
585.5873321390292 287.307684591347
301.26007145098237 609.9704099301468
998.5247631190445 1309.964326049343
1007.7753460861794 1297.626739750829
298.86133380987656 608.745071820356
611.9610916770692 287.01343339094456
597.7717075589443 302.2653170549665
984.1059044735097 1303.0297323854422
300.22181004959236 593.6473871369757
